,sr,as1,as2,as3,as4,as5,qz1,qz2,qz3,qz4,qz5,qz6,qz7,s_i,s_ii,final
51,18,0.8076923076923077,0.8571428571428571,0.79,0.88,0.9083333333333333,0.8,0.3333333333333333,0.0,0.2,0.2,0.3,0.5833333333333334,0.5,0.262,0.40244444444444444
52,19,0.0,0.7428571428571429,0.82,0.66,0.7166666666666667,0.7,0.3333333333333333,0.0,0.1,0.2,0.3,1.0,0.312,0.2,0.34
54,21,0.0,0.9571428571428572,0.54,0.68,0.875,0.4,0.26666666666666666,0.2,0.0,0.7,0.0,0.5,0.5619999999999999,0.28733333333333333,0.5124444444444444
55,22,0.7230769230769231,0.8571428571428571,0.83,0.392,0.6166666666666667,0.3,0.4,0.0,0.1,0.3,0.5,0.75,0.46199999999999997,0.18066666666666667,0.4648888888888889
56,23,0.0,0.5714285714285714,0.387,0.34,0.5583333333333333,0.4,0.4,0.0,0.1,0.0,0.0,0.5,0.10600000000000001,0.18066666666666667,0.1648888888888889
57,24,0.5923076923076923,0.9285714285714286,0.37,0.68,0.6666666666666666,0.5,0.4,0.4375,0.2,0.0,0.3,0.5,0.356,0.162,0.2848888888888889
58,25,0.0,0.7142857142857143,0.56,0.66,0.7416666666666667,0.4,0.2,0.0,0.2,0.0,0.0,0.6666666666666666,0.39333333333333337,0.112,0.3848888888888889
59,26,0.0,0.8,0.254,0.28,0.725,0.4,0.2,0.0,0.0,0.4,0.5,0.5,0.062000000000000006,0.03066666666666667,0.05488888888888889
60,27,0.0,0.8857142857142857,0.82,0.7,0.9583333333333334,0.7,0.3333333333333333,0.1,0.3,0.1,0.4,1.0,0.512,0.37466666666666665,0.47733333333333333
61,28,0.0,0.8571428571428571,0.82,0.58,0.8083333333333333,1.0,0.2,0.4375,1.0,0.2,0.3,1.0,0.4746666666666667,0.23733333333333334,0.4348888888888889
62,1,0.9125,0.7285714285714285,0.6166666666666667,0.7,0.725,0.9,0.2,0.4375,0.8,0.5,0.8,0.5,0.7246666666666666,0.28933333333333333,0.375
63,2,0.84375,0.7285714285714285,0.75,0.9166666666666666,0.7375,1.0,0.45,0.7,1.0,0.7,0.6,0.25,0.7873333333333333,0.64,0.65225
64,3,0.8375,0.44,0.6666666666666666,0.0,0.725,0.7,0.2,0.8,0.4,0.4,0.5,0.5,0.262,0.01,0.05450000000000001
65,4,0.6303846153846153,0.7285714285714285,0.7295833333333333,0.3333333333333333,0.575,0.0,0.65,0.6,0.65,0.6,0.7,0.4166666666666667,0.55,0.192,0.35
66,5,0.340625,0.515,0.85,0.0,0.875,1.0,0.35,0.65,0.2,0.4,0.5,0.375,0.662,0.16933333333333334,0.24300000000000002
67,6,0.66875,0.645,0.7166666666666667,0.6166666666666667,0.625,0.85,0.7,1.0,0.6,0.95,0.7,0.2916666666666667,0.6373333333333334,0.7,0.4295
68,7,0.34375,0.69,0.5916666666666667,0.8,0.5875,0.45,0.2,0.1,0.0,0.4,0.6,0.5,0.27466666666666667,0.08,0.2225
69,8,0.90625,0.82,0.8416666666666667,0.95,0.8375,0.6,0.6,0.85,0.6,0.4,1.0,0.5,0.8746666666666666,0.4,0.5295
70,9,0.81875,0.625,0.8,0.9333333333333333,0.575,0.7,0.25,0.9,0.2,0.4,0.5,0.5,0.3,0.5,0.418
71,10,0.5375,0.74,0.5916666666666667,0.4666666666666667,0.4875,0.25,0.0,0.7,0.85,0.5,0.4,0.375,0.21200000000000002,0.146,0.1795
72,11,0.8125,0.815,0.7295833333333333,0.8,0.375,0.2,0.0,0.75,0.2,0.8,0.2,0.5,0.22466666666666668,0.026000000000000002,0.1885
73,12,0.925,0.52,0.9916666666666667,1.0,1.0,1.0,0.95,0.8,0.5,0.7,1.0,0.625,0.8373333333333334,0.84,0.609
74,13,0.8625,0.815,0.9583333333333334,1.0,0.975,0.35,0.2,0.9,0.6,0.8,0.6,0.5,0.4,0.366,0.434
75,14,0.7625,0.42,0.6916666666666667,0.0,0.0,1.0,0.0,0.6,0.85,0.9,0.7,0.375,0.3873333333333333,0.47,0.434
76,15,0.278125,0.385,0.5458333333333333,0.43333333333333335,0.0,0.25,0.0,0.35,0.4,0.6,0.6,0.08333333333333333,0.037333333333333336,0.056,0.22725
77,16,0.6303846153846153,0.7285714285714285,0.7295833333333333,0.725,0.725,0.5,0.0,0.25,0.4,0.4,0.1,0.125,0.12466666666666668,0.02,0.09075
78,17,0.66875,0.295,0.65,0.0,0.0,0.65,0.4,0.6,0.6,1.0,0.5,0.5833333333333334,0.612,0.53,0.375
79,18,0.6125,0.76,0.8916666666666667,0.9666666666666667,0.0,0.7,0.4,0.4,0.6,0.7,0.5,0.625,0.27466666666666667,0.31,0.44075
80,19,0.303125,0.69,0.625,0.8,0.95,0.55,0.2,0.4,0.6,0.2,0.6,0.2916666666666667,0.3373333333333333,0.426,0.375
